Season,Title,Airdate,Rating,Vote_count,Description
2,Three Men and a Comic Book,9 May 1991,8.3,2401,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship."
2,Blood Feud,11 Jul. 1991,7.9,2154,"Bart saves Mr. Burns's life. But Homer becomes enraged when Mr. Burns doesn't return the favor by sending the Simpsons what he considers to be an appropriate ""thank you"" gift."
3,Stark Raving Dad,19 Sep. 1991,8.6,3084,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.
3,Mr. Lisa Goes to Washington,26 Sep. 1991,7.8,2276,"After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works."
3,When Flanders Failed,3 Oct. 1991,8.2,2345,"After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out."
3,Bart the Murderer,10 Oct. 1991,8.6,2574,"After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears."
3,Homer Defined,17 Oct. 1991,8.5,2449,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident."
3,"Like Father, Like Clown",24 Oct. 1991,7.7,2202,Bart and Lisa try to reunite Krusty the Clown with his father.
3,Treehouse of Horror II,31 Oct. 1991,8.3,2431,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot."
3,Lisa's Pony,7 Nov. 1991,7.9,2138,Homer buys Lisa a pony that the family can ill afford.
3,Saturdays of Thunder,14 Nov. 1991,7.9,2116,"After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer."
3,Flaming Moe's,21 Nov. 1991,8.8,2772,"Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer."
3,Burns Verkaufen der Kraftwerk,5 Dec. 1991,8.3,2231,"Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off."
3,I Married Marge,26 Dec. 1991,8.3,2129,"As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth."
